id,type,exec_time,period,deadline,abs_deadline,energy_cost,comm_latency,arrival_time
1,periodic,3.0836560790747303,20.0,15.0,15.0,0.75,0.33,0.0
41,periodic,5.03682088049789,20.0,15.0,15.0,1.25,0.62,0.0
81,periodic,7.74259585160542,30.0,20.0,20.0,2.0,1.06,0.0
108,periodic,4.274390584515804,15.0,12.0,12.0,1.0,1.49,0.0
162,periodic,12.186463031964237,50.0,36.0,36.0,3.0,1.36,0.0
178,periodic,6.282240366613337,25.0,18.0,18.0,1.5,0.51,0.0
210,periodic,10.20984261677484,40.0,28.0,28.0,2.5,0.39,0.0
230,periodic,7.076049062189068,35.0,25.0,25.0,1.75,0.63,0.0
253,periodic,8.716261227804187,45.0,32.0,32.0,2.25,1.07,0.0
271,periodic,5.191580704586651,22.0,15.0,15.0,1.25,1.46,0.0
308,periodic,11.01855315868746,55.0,35.0,35.0,2.75,0.81,0.0
382,aperiodic,5.0,0.0,21.4,28.7,0.75,3.32,7.3
109,periodic,4.033460994043371,15.0,12.0,27.0,1.0,1.16,15.0
403,aperiodic,3.3,0.0,13.8,33.5,0.49,3.59,19.7
2,periodic,2.8650175910214717,20.0,15.0,35.0,0.75,0.57,20.0
42,periodic,5.050751594134124,20.0,15.0,35.0,1.25,1.38,20.0
272,periodic,4.764859249794564,22.0,15.0,37.0,1.25,0.33,22.0
179,periodic,6.277520589456933,25.0,18.0,43.0,1.5,0.62,25.0
368,aperiodic,13.8,0.0,75.6,102.39999999999999,2.07,2.26,26.8
82,periodic,7.837365070286693,30.0,20.0,50.0,2.0,1.39,30.0
110,periodic,3.7928780951644385,15.0,12.0,42.0,1.0,0.66,30.0
231,periodic,6.746490012318842,35.0,25.0,60.0,1.75,0.64,35.0
3,periodic,3.141882728498407,20.0,15.0,55.0,0.75,1.11,40.0
43,periodic,4.939640303084238,20.0,15.0,55.0,1.25,0.56,40.0
211,periodic,9.948664606598632,40.0,28.0,68.0,2.5,1.06,40.0
326,sporadic,5.0,10.0,19.4,61.199999999999996,1.0,0.87,41.8
273,periodic,4.887174346636817,22.0,15.0,59.0,1.25,1.11,44.0
111,periodic,4.2812256189814955,15.0,12.0,57.0,1.0,1.0,45.0
254,periodic,8.78141969233834,45.0,32.0,77.0,2.25,0.85,45.0
163,periodic,11.714871817138913,50.0,36.0,86.0,3.0,1.18,50.0
180,periodic,5.765041528328827,25.0,18.0,68.0,1.5,0.82,50.0
309,periodic,11.147561262028166,55.0,35.0,90.0,2.75,0.7,55.0
4,periodic,3.235307740622907,20.0,15.0,75.0,0.75,0.4,60.0
44,periodic,5.298522563897066,20.0,15.0,75.0,1.25,0.91,60.0
83,periodic,8.215781240152248,30.0,20.0,80.0,2.0,0.39,60.0
112,periodic,4.025317120824565,15.0,12.0,72.0,1.0,1.2,60.0
274,periodic,5.274903702923537,22.0,15.0,81.0,1.25,0.78,66.0
232,periodic,6.863029064249311,35.0,25.0,95.0,1.75,0.68,70.0
376,aperiodic,11.0,0.0,56.9,130.1,1.65,2.72,73.2
113,periodic,3.73429916374449,15.0,12.0,87.0,1.0,1.0,75.0
181,periodic,6.137127036391623,25.0,18.0,93.0,1.5,0.68,75.0
5,periodic,2.953153091811162,20.0,15.0,95.0,0.75,0.34,80.0
45,periodic,4.754545647304276,20.0,15.0,95.0,1.25,0.36,80.0
212,periodic,9.816661142043825,40.0,28.0,108.0,2.5,1.14,80.0
275,periodic,5.129008823029681,22.0,15.0,103.0,1.25,0.39,88.0
84,periodic,7.842802780621398,30.0,20.0,110.0,2.0,1.1,90.0
114,periodic,4.001710229751708,15.0,12.0,102.0,1.0,1.32,90.0
255,periodic,8.730170780093177,45.0,32.0,122.0,2.25,0.75,90.0
6,periodic,2.831182784882162,20.0,15.0,115.0,0.75,0.91,100.0
46,periodic,4.765789478210396,20.0,15.0,115.0,1.25,1.05,100.0
164,periodic,11.899311280767858,50.0,36.0,136.0,3.0,1.42,100.0
182,periodic,6.063725311983686,25.0,18.0,118.0,1.5,0.91,100.0
115,periodic,3.79445963676369,15.0,12.0,117.0,1.0,1.45,105.0
233,periodic,7.024091333511074,35.0,25.0,130.0,1.75,0.47,105.0
407,aperiodic,3.2,0.0,23.8,129.1,0.48,2.09,105.3
381,aperiodic,4.9,0.0,37.1,146.3,0.73,2.11,109.2
276,periodic,5.114368649559788,22.0,15.0,125.0,1.25,1.05,110.0
310,periodic,11.121712965311461,55.0,35.0,145.0,2.75,0.63,110.0
383,aperiodic,12.8,0.0,81.8,195.3,1.92,2.05,113.5
7,periodic,2.715921581810318,20.0,15.0,135.0,0.75,0.54,120.0
47,periodic,5.175247618617778,20.0,15.0,135.0,1.25,0.81,120.0
85,periodic,7.8285420844222635,30.0,20.0,140.0,2.0,0.46,120.0
116,periodic,3.748066879144352,15.0,12.0,132.0,1.0,0.52,120.0
213,periodic,9.996626301406263,40.0,28.0,148.0,2.5,0.59,120.0
183,periodic,5.931117260006836,25.0,18.0,143.0,1.5,0.99,125.0
277,periodic,4.761140783267586,22.0,15.0,147.0,1.25,1.23,132.0
332,sporadic,13.2,26.4,32.6,166.0,2.64,0.69,133.4
117,periodic,4.057021063870017,15.0,12.0,147.0,1.0,1.11,135.0
256,periodic,8.82699617052689,45.0,32.0,167.0,2.25,0.69,135.0
8,periodic,3.089930662667714,20.0,15.0,155.0,0.75,0.95,140.0
48,periodic,4.738116623691174,20.0,15.0,155.0,1.25,0.76,140.0
234,periodic,6.8387568878369125,35.0,25.0,165.0,1.75,1.13,140.0
324,sporadic,10.6,21.2,35.2,176.2,2.12,0.63,141.0
351,sporadic,11.6,23.2,37.6,180.6,2.32,1.4,143.0
86,periodic,8.261308544348402,30.0,20.0,170.0,2.0,0.99,150.0
118,periodic,3.8411223370005585,15.0,12.0,162.0,1.0,0.44,150.0
165,periodic,12.181341083362284,50.0,36.0,186.0,3.0,1.34,150.0
184,periodic,5.852833503683149,25.0,18.0,168.0,1.5,1.15,150.0
331,sporadic,14.4,28.8,69.7,221.39999999999998,2.88,1.03,151.7
385,aperiodic,5.0,0.0,36.1,188.29999999999998,0.75,1.85,152.2
278,periodic,5.210175943453278,22.0,15.0,169.0,1.25,1.02,154.0
9,periodic,2.832264373224418,20.0,15.0,175.0,0.75,1.01,160.0
49,periodic,5.297672828144058,20.0,15.0,175.0,1.25,0.93,160.0
214,periodic,10.09363480666707,40.0,28.0,188.0,2.5,0.31,160.0
404,aperiodic,8.7,0.0,65.9,228.4,1.3,0.72,162.5
119,periodic,4.2341723884776625,15.0,12.0,177.0,1.0,0.6,165.0
311,periodic,10.850842205720564,55.0,35.0,200.0,2.75,0.44,165.0
185,periodic,5.701014766931178,25.0,18.0,193.0,1.5,1.41,175.0
235,periodic,7.123851485016731,35.0,25.0,200.0,1.75,0.38,175.0
279,periodic,4.7726330390403895,22.0,15.0,191.0,1.25,1.48,176.0
10,periodic,3.185658274006696,20.0,15.0,195.0,0.75,0.31,180.0
50,periodic,5.282647026568171,20.0,15.0,195.0,1.25,1.33,180.0
87,periodic,7.983602615787077,30.0,20.0,200.0,2.0,1.24,180.0
120,periodic,4.056711492120065,15.0,12.0,192.0,1.0,1.04,180.0
257,periodic,9.156737824736416,45.0,32.0,212.0,2.25,0.75,180.0
121,periodic,3.9515349492015233,15.0,12.0,207.0,1.0,1.0,195.0
280,periodic,5.169581207816612,22.0,15.0,213.0,1.25,0.72,198.0
