id,type,exec_time,period,deadline,abs_deadline,energy_cost,comm_latency,arrival_time
1,periodic,3.0836560790747303,20.0,15.0,15.0,0.75,0.33,0.0
41,periodic,5.03682088049789,20.0,15.0,15.0,1.25,0.62,0.0
81,periodic,7.74259585160542,30.0,20.0,20.0,2.0,1.06,0.0
108,periodic,4.274390584515804,15.0,12.0,12.0,1.0,1.49,0.0
162,periodic,12.186463031964237,50.0,36.0,36.0,3.0,1.36,0.0
178,periodic,6.282240366613337,25.0,18.0,18.0,1.5,0.51,0.0
210,periodic,10.20984261677484,40.0,28.0,28.0,2.5,0.39,0.0
230,periodic,7.076049062189068,35.0,25.0,25.0,1.75,0.63,0.0
276,aperiodic,10.4,0.0,45.6,53.300000000000004,1.56,3.82,7.7
109,periodic,4.033460994043371,15.0,12.0,27.0,1.0,1.16,15.0
256,sporadic,7.5,15.0,16.8,32.0,1.5,1.85,15.2
2,periodic,2.8650175910214717,20.0,15.0,35.0,0.75,0.57,20.0
42,periodic,5.050751594134124,20.0,15.0,35.0,1.25,1.38,20.0
179,periodic,6.277520589456933,25.0,18.0,43.0,1.5,0.62,25.0
82,periodic,7.837365070286693,30.0,20.0,50.0,2.0,1.39,30.0
110,periodic,3.7928780951644385,15.0,12.0,42.0,1.0,0.66,30.0
231,periodic,6.746490012318842,35.0,25.0,60.0,1.75,0.64,35.0
3,periodic,3.141882728498407,20.0,15.0,55.0,0.75,1.11,40.0
43,periodic,4.939640303084238,20.0,15.0,55.0,1.25,0.56,40.0
211,periodic,9.948664606598632,40.0,28.0,68.0,2.5,1.06,40.0
291,aperiodic,2.9,0.0,17.8,59.7,0.43,1.02,41.9
111,periodic,4.2812256189814955,15.0,12.0,57.0,1.0,1.0,45.0
163,periodic,11.714871817138913,50.0,36.0,86.0,3.0,1.18,50.0
180,periodic,5.765041528328827,25.0,18.0,68.0,1.5,0.82,50.0
4,periodic,3.235307740622907,20.0,15.0,75.0,0.75,0.4,60.0
44,periodic,5.298522563897066,20.0,15.0,75.0,1.25,0.91,60.0
83,periodic,8.215781240152248,30.0,20.0,80.0,2.0,0.39,60.0
112,periodic,4.025317120824565,15.0,12.0,72.0,1.0,1.2,60.0
232,periodic,6.863029064249311,35.0,25.0,95.0,1.75,0.68,70.0
113,periodic,3.73429916374449,15.0,12.0,87.0,1.0,1.0,75.0
181,periodic,6.137127036391623,25.0,18.0,93.0,1.5,0.68,75.0
268,sporadic,15.9,31.8,71.0,147.9,3.18,2.9,76.9
262,sporadic,15.5,31.0,75.9,154.2,3.1,0.56,78.3
5,periodic,2.953153091811162,20.0,15.0,95.0,0.75,0.34,80.0
45,periodic,4.754545647304276,20.0,15.0,95.0,1.25,0.36,80.0
212,periodic,9.816661142043825,40.0,28.0,108.0,2.5,1.14,80.0
84,periodic,7.842802780621398,30.0,20.0,110.0,2.0,1.1,90.0
114,periodic,4.001710229751708,15.0,12.0,102.0,1.0,1.32,90.0
259,sporadic,4.3,8.6,10.6,110.19999999999999,0.86,2.17,99.6
6,periodic,2.831182784882162,20.0,15.0,115.0,0.75,0.91,100.0
46,periodic,4.765789478210396,20.0,15.0,115.0,1.25,1.05,100.0
164,periodic,11.899311280767858,50.0,36.0,136.0,3.0,1.42,100.0
182,periodic,6.063725311983686,25.0,18.0,118.0,1.5,0.91,100.0
115,periodic,3.79445963676369,15.0,12.0,117.0,1.0,1.45,105.0
233,periodic,7.024091333511074,35.0,25.0,130.0,1.75,0.47,105.0
253,sporadic,4.4,8.8,17.3,123.5,0.88,1.65,106.2
7,periodic,2.715921581810318,20.0,15.0,135.0,0.75,0.54,120.0
47,periodic,5.175247618617778,20.0,15.0,135.0,1.25,0.81,120.0
85,periodic,7.8285420844222635,30.0,20.0,140.0,2.0,0.46,120.0
116,periodic,3.748066879144352,15.0,12.0,132.0,1.0,0.52,120.0
213,periodic,9.996626301406263,40.0,28.0,148.0,2.5,0.59,120.0
183,periodic,5.931117260006836,25.0,18.0,143.0,1.5,0.99,125.0
117,periodic,4.057021063870017,15.0,12.0,147.0,1.0,1.11,135.0
283,aperiodic,8.4,0.0,57.2,194.7,1.26,1.26,137.5
8,periodic,3.089930662667714,20.0,15.0,155.0,0.75,0.95,140.0
48,periodic,4.738116623691174,20.0,15.0,155.0,1.25,0.76,140.0
234,periodic,6.8387568878369125,35.0,25.0,165.0,1.75,1.13,140.0
289,aperiodic,7.6,0.0,39.5,179.7,1.14,0.68,140.2
86,periodic,8.261308544348402,30.0,20.0,170.0,2.0,0.99,150.0
118,periodic,3.8411223370005585,15.0,12.0,162.0,1.0,0.44,150.0
165,periodic,12.181341083362284,50.0,36.0,186.0,3.0,1.34,150.0
184,periodic,5.852833503683149,25.0,18.0,168.0,1.5,1.15,150.0
282,aperiodic,5.0,0.0,18.0,168.6,0.75,0.92,150.6
285,aperiodic,5.4,0.0,18.9,170.5,0.81,1.3,151.6
9,periodic,2.832264373224418,20.0,15.0,175.0,0.75,1.01,160.0
49,periodic,5.297672828144058,20.0,15.0,175.0,1.25,0.93,160.0
214,periodic,10.09363480666707,40.0,28.0,188.0,2.5,0.31,160.0
119,periodic,4.2341723884776625,15.0,12.0,177.0,1.0,0.6,165.0
254,sporadic,4.7,9.4,14.7,180.89999999999998,0.94,1.32,166.2
185,periodic,5.701014766931178,25.0,18.0,193.0,1.5,1.41,175.0
235,periodic,7.123851485016731,35.0,25.0,200.0,1.75,0.38,175.0
10,periodic,3.185658274006696,20.0,15.0,195.0,0.75,0.31,180.0
50,periodic,5.282647026568171,20.0,15.0,195.0,1.25,1.33,180.0
87,periodic,7.983602615787077,30.0,20.0,200.0,2.0,1.24,180.0
120,periodic,4.056711492120065,15.0,12.0,192.0,1.0,1.04,180.0
121,periodic,3.9515349492015233,15.0,12.0,207.0,1.0,1.0,195.0
270,sporadic,14.3,28.6,70.0,267.2,2.86,2.52,197.2
11,periodic,3.1834915510996846,20.0,15.0,215.0,0.75,1.14,200.0
51,periodic,4.706888613165692,20.0,15.0,215.0,1.25,1.16,200.0
166,periodic,12.186449589944633,50.0,36.0,236.0,3.0,0.62,200.0
186,periodic,6.023071198255675,25.0,18.0,218.0,1.5,1.16,200.0
215,periodic,10.150578685971084,40.0,28.0,228.0,2.5,1.22,200.0
88,periodic,8.184498198659986,30.0,20.0,230.0,2.0,0.53,210.0
122,periodic,4.013669629319176,15.0,12.0,222.0,1.0,1.42,210.0
236,periodic,6.944559621799952,35.0,25.0,235.0,1.75,0.95,210.0
12,periodic,2.9041503099107953,20.0,15.0,235.0,0.75,0.49,220.0
52,periodic,5.109026221415945,20.0,15.0,235.0,1.25,0.94,220.0
123,periodic,3.822555519654122,15.0,12.0,237.0,1.0,1.16,225.0
187,periodic,6.145170046703686,25.0,18.0,243.0,1.5,1.1,225.0
13,periodic,3.274327843324069,20.0,15.0,255.0,0.75,0.7,240.0
53,periodic,4.860095113971526,20.0,15.0,255.0,1.25,1.07,240.0
89,periodic,7.758158488537294,30.0,20.0,260.0,2.0,0.82,240.0
124,periodic,3.8432115715695074,15.0,12.0,252.0,1.0,0.77,240.0
216,periodic,9.763952377938123,40.0,28.0,268.0,2.5,0.81,240.0
237,periodic,6.949464540461894,35.0,25.0,270.0,1.75,0.55,245.0
167,periodic,12.172424705481284,50.0,36.0,286.0,3.0,0.43,250.0
188,periodic,5.9185328830687585,25.0,18.0,268.0,1.5,0.38,250.0
